time,dt,mass,total_E,x1_Mom,x2_Mom,x3_Mom,Gamma,x1_KE,x2_KE,x3_KE,Press,x0_ME,x1_ME,x2_ME,x3_ME,bsq,T00_EM,Gam-p,Gam-c,U_th,U_b
0.000000e+00,9.765625e-05,1.101563e-01,6.609375e-01,0.000000e+00,-1.033976e-23,0.000000e+00,1.000000e-01,0.000000e+00,1.704536e-14,0.000000e+00,2.539157e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.492187e-01,9.492187e-01,4.746094e-01,1.000000e-01,1.000000e-01,7.617472e-02,9.492187e-01
1.005859e-02,9.765625e-05,1.101562e-01,6.609375e-01,-6.284634e-23,-1.060274e-04,0.000000e+00,1.000000e-01,9.837671e-17,8.445502e-10,0.000000e+00,2.539285e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.492111e-01,9.492111e-01,4.746056e-01,1.000000e-01,1.000000e-01,7.617854e-02,9.492111e-01
2.001953e-02,9.765625e-05,1.101562e-01,6.609375e-01,8.918041e-23,-2.015166e-04,0.000000e+00,1.000000e-01,9.302070e-16,3.194218e-09,0.000000e+00,2.539652e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.491890e-01,9.491890e-01,4.745945e-01,1.000000e-01,1.000002e-01,7.618957e-02,9.491890e-01
3.007813e-02,9.765625e-05,1.101562e-01,6.609375e-01,-5.169879e-24,-2.883420e-04,0.000000e+00,1.000000e-01,3.290894e-15,6.830271e-09,0.000000e+00,2.540241e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.491537e-01,9.491537e-01,4.745769e-01,1.000000e-01,1.000004e-01,7.620723e-02,9.491537e-01
4.003906e-02,9.765625e-05,1.101562e-01,6.609376e-01,-5.131105e-22,-3.648179e-04,0.000000e+00,1.000000e-01,6.864578e-15,1.141735e-08,0.000000e+00,2.540997e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.491083e-01,9.491084e-01,4.745542e-01,1.000000e-01,1.000007e-01,7.622990e-02,9.491084e-01
5.000000e-02,9.765625e-05,1.101562e-01,6.609376e-01,1.460491e-22,-4.318334e-04,0.000000e+00,1.000000e-01,1.217037e-14,1.677028e-08,0.000000e+00,2.541859e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.490565e-01,9.490567e-01,4.745284e-01,1.000000e-01,1.000010e-01,7.625576e-02,9.490567e-01
6.005859e-02,9.765625e-05,1.101562e-01,6.609377e-01,1.563888e-22,-4.899061e-04,0.000000e+00,1.000000e-01,2.515173e-14,2.294503e-08,0.000000e+00,2.542790e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.490006e-01,9.490008e-01,4.745005e-01,1.000000e-01,1.000013e-01,7.628369e-02,9.490008e-01
7.001953e-02,9.765625e-05,1.101562e-01,6.609377e-01,1.809458e-22,-5.379084e-04,0.000000e+00,1.000000e-01,5.909245e-14,3.013939e-08,0.000000e+00,2.543740e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.489435e-01,9.489437e-01,4.744720e-01,1.000000e-01,1.000016e-01,7.631219e-02,9.489437e-01
8.007812e-02,9.765625e-05,1.101562e-01,6.609378e-01,1.550964e-23,-5.767814e-04,0.000000e+00,1.000000e-01,1.360279e-13,3.979960e-08,0.000000e+00,2.544697e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.488859e-01,9.488862e-01,4.744432e-01,1.000000e-01,1.000021e-01,7.634090e-02,9.488862e-01
9.003906e-02,9.765625e-05,1.101562e-01,6.609378e-01,9.887393e-23,-6.057703e-04,0.000000e+00,1.000000e-01,2.832511e-13,5.417951e-08,0.000000e+00,2.545614e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.488305e-01,9.488308e-01,4.744156e-01,1.000000e-01,1.000026e-01,7.636843e-02,9.488308e-01
